curated_name,bsnpr_id,canonical_name,career_span,verdict,confidence,flag,evidence
Ike Diogu,2761,"Diogu, Ike",2012-2012,auto,9,,"curated name == alias | swapped name == alias | surname+initial (diogu,i) | decades overlap span 2012-2012 | club MISMATCH ['leones_ponce'] vs ['capitanes_arecibo']"
Isaac Sosa,2818,"Sosa Carrion, Isaac",2013-2017,auto,8,,"swapped name == alias | surname+initial (sosa,i) | decades overlap span 2013-2017 | club overlap"
Isaiah Pineiro,13246,"Pineiro, Isaiah",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (pineiro,i)"
Iván Gandía,13318,"Gandia, Ivan",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (gandia,i)"
Jahvari Josiah,13076,"Josiah, Jahvari",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (josiah,j)"
James Carter,989,"Carter Gaudino, James",1987-2006,auto,9,,"swapped name == alias | surname+initial (carter,j) | scoring years 1991-1994 in span 1987-2006 | club overlap"
James Ennis,2889,"Ennis, James",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (ennis,j)"
Jamil Wilson,13100,"Wilson, Jamil",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (wilson,j)"
Javier Mojica,2355,"Mojica Izquierdo, Javier",2007-2017,auto,8,,"swapped name == alias | surname+initial (mojica,j) | decades overlap span 2007-2017 | club overlap"
Jaysean Paige,13280,"Paige, Jaysean",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (paige,j)"
Jeffrion Aubry,1025,"Aubry Flores, Jeffrion",1998-2013,auto,6,,"swapped name == alias | surname+initial (aubry,j) | decades overlap span 1998-2013"
Jerome Mincy,1032,"Mincy Clark, Jerome Alfred",1982-2003,auto,14,,"birth year 1964 | bioFull == alias | swapped name == alias | surname+initial (mincy,j) | decades overlap span 1982-2003"
